Jamestown	-5.716667	-15.93333333
Jerusalem	35.233333	31.76666667
Kathmandu	85.316667	27.71666667
Kingstown	-61.216667	13.13333333
Ljubljana	14.516667	46.05
Mariehamn	19.9	60.116667
Mogadishu	45.333333	2.066666667
Podgorica	19.266667	42.43333333
Pyongyang	125.75	39.01666667
Reykjavik	-21.95	64.15
Singapore	103.85	1.283333333
Stockholm	18.05	59.33333333
Vientiane	102.6	17.96666667
Basseterre	-62.716667	17.3
Bratislava	17.116667	48.15
Bridgetown	-59.616667	13.1
Copenhagen	12.583333	55.66666667
Georgetown	-58.15	6.8
Libreville	9.45	0.383333333
Luxembourg	6.116667	49.6
Montevideo	-56.166667	-34.85
Nouakchott	-15.966667	18.06666667
Oranjestad	-70.033333	12.51666667
Paramaribo	-55.166667	5.833333333
Wellington	174.783333	-41.3
Willemstad	-68.916667	12.1
Brazzaville	15.283333	-4.25
Ouagadougou	-1.516667	12.36666667
Philipsburg	-63.033333	18.01666667
Tegucigalpa	-87.216667	14.1
Ulaanbaatar	106.916667	47.91666667
Antananarivo	47.516667	-18.91666667
Longyearbyen	15.633333	78.21666667
Yamoussoukro	-5.266667	6.816666667
